flight_number,airline_name,departure_airport,arrival_airport,departure_time,arrival_time,duration_hours,flight_price
LH2132,Lufthansa,Frankfurt Airport,Charles de Gaulle,12/5/2022,8/5/2022,2,428.7
LA3215,LATAM Airlines,São Paulo/Guarulhos International,Ministro Pistarini International,4/14/2022,6/23/2022,11,3037.94
AZ8773,Alitalia,Leonardo da Vinci International,Charles de Gaulle,9/1/2022,2/15/2022,16,290.05
SK1252,SAS Scandinavian,Copenhagen Airport,Charles de Gaulle,7/21/2022,1/2/2022,19,755.06
KE4188,Korean Air,Incheon International,Haneda,4/4/2022,10/27/2022,23,4702.91
KL6392,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Charles de Gaulle,7/13/2022,9/5/2022,4,4640.57
BA7341,British Airways,Heathrow,Charles de Gaulle,1/17/2022,4/27/2022,20,2891.73
SQ1871,Singapore Airlines,Changi,Beijing Capital International,1/5/2022,1/3/2022,1,3470.15
WN8861,Southwest Airlines,Los Angeles International,Seattle-Tacoma International,9/29/2022,12/17/2022,14,4249.64
WN3122,Southwest Airlines,Los Angeles International,San Francisco International,3/13/2022,4/18/2022,8,2681.25
CX2918,Cathay Pacific,Hong Kong International,Changi,2/3/2022,3/11/2022,4,750.38
AV8175,Avianca,El Dorado International,O'Hare International,9/13/2022,10/1/2022,7,1072.64
QR9258,Qatar Airways,Hamad International,Frankfurt Airport,7/13/2022,5/19/2022,23,356.92
IB2906,Iberia,Adolfo Suárez Madrid–Barajas,Charles de Gaulle,12/30/2022,11/18/2022,3,406.62
CX5078,Cathay Pacific,Hong Kong International,Changi,9/27/2022,1/2/2022,22,4901.35
KL3038,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Charles de Gaulle,3/28/2022,6/23/2022,8,3967.92
CX1697,Cathay Pacific,Hong Kong International,Suvarnabhumi,5/4/2022,12/1/2022,11,1193.61
UA1658,United Airlines,Los Angeles International,Seattle-Tacoma International,3/24/2022,2/4/2022,1,4885.64
EK1896,Emirates,Dubai International,Hamad International,2/23/2022,12/28/2022,20,3681.49
AM2494,Aeroméxico,Benito Juárez International,Frankfurt Airport,8/25/2022,5/6/2022,6,1594.48
UA1633,United Airlines,Los Angeles International,San Francisco International,8/29/2022,2/3/2022,19,1384.29
NH7849,All Nippon Airways,Haneda,Incheon International,10/8/2022,8/25/2022,4,3943.17
SK4129,SAS Scandinavian,Copenhagen Airport,Leonardo da Vinci International,7/11/2022,4/7/2022,1,2687.32
DL5331,Delta Air Lines,John F. Kennedy International,Hartsfield-Jackson Atlanta,7/19/2022,10/19/2022,22,2304.12
QF3855,Qantas,Sydney Airport,Melbourne Airport,9/26/2022,8/19/2022,4,1588.14
LA9924,LATAM Airlines,São Paulo/Guarulhos International,Ministro Pistarini International,1/20/2022,11/8/2022,9,3600.29
AM7137,Aeroméxico,Benito Juárez International,Chhatrapati Shivaji International,4/28/2022,5/24/2022,10,377.05
AV9472,Avianca,El Dorado International,Benito Juárez International,6/13/2022,3/14/2022,17,3343.59
AV8553,Avianca,El Dorado International,O'Hare International,9/5/2022,6/9/2022,13,3011.1
AF6961,Air France,Charles de Gaulle,Frankfurt Airport,4/1/2022,3/22/2022,1,4971.08
IB3042,Iberia,Adolfo Suárez Madrid–Barajas,Vienna International,4/27/2022,3/18/2022,22,3421.58
IB9980,Iberia,Adolfo Suárez Madrid–Barajas,Charles de Gaulle,4/5/2022,6/11/2022,5,1477.54
LA1118,LATAM Airlines,São Paulo/Guarulhos International,Ministro Pistarini International,8/13/2022,3/20/2022,17,4165.07
NZ9438,Air New Zealand,Auckland Airport,Sydney Airport,8/15/2022,1/6/2022,23,1991.73
SK3193,SAS Scandinavian,Copenhagen Airport,Charles de Gaulle,1/4/2022,10/4/2022,2,4932.7
BA4990,British Airways,Heathrow,Charles de Gaulle,3/22/2022,9/11/2022,14,3568.16
AC7189,Air Canada,Toronto Pearson,Ministro Pistarini International,4/11/2022,5/31/2022,14,1679.41
AA9987,American Airlines,John F. Kennedy International,Hartsfield-Jackson Atlanta,2/1/2022,5/29/2022,3,603.37
ET6234,Ethiopian Airlines,Bole International,Hamad International,7/27/2022,12/1/2022,4,1492.54
UA1191,United Airlines,Los Angeles International,O'Hare International,1/4/2022,7/5/2022,23,289.18
AI5999,Air India,Indira Gandhi International,Chhatrapati Shivaji International,8/12/2022,3/26/2022,24,107.43
WN9586,Southwest Airlines,Los Angeles International,San Francisco International,10/10/2022,5/4/2022,17,556.75
CX8812,Cathay Pacific,Hong Kong International,Changi,11/21/2022,2/14/2022,6,4726.74
LH3192,Lufthansa,Frankfurt Airport,Charles de Gaulle,10/5/2022,11/21/2022,5,1163.67
WN7040,Southwest Airlines,Los Angeles International,Arturo Merino Benítez International,9/23/2022,9/19/2022,17,826.83
QF7187,Qantas,Sydney Airport,Auckland Airport,7/16/2022,9/19/2022,11,2558.44
AF3476,Air France,Charles de Gaulle,Leonardo da Vinci International,1/10/2022,7/3/2022,12,2378.6
SA8401,South African Airways,O.R. Tambo International,Charles de Gaulle,7/7/2022,9/10/2022,11,2101.94
KE4971,Korean Air,Incheon International,Hong Kong International,1/6/2022,6/2/2022,20,712.42
LA7277,LATAM Airlines,São Paulo/Guarulhos International,Amsterdam Airport Schiphol,1/3/2022,6/23/2022,6,2102.98
AM3516,Aeroméxico,Benito Juárez International,Dallas/Fort Worth International,11/27/2022,7/14/2022,13,3329.46
WN4006,Southwest Airlines,Los Angeles International,San Francisco International,4/19/2022,5/6/2022,1,2765.7
BA4091,British Airways,Heathrow,Charles de Gaulle,6/8/2022,12/25/2022,1,3990.51
AZ8044,Alitalia,Leonardo da Vinci International,Charles de Gaulle,5/29/2022,12/14/2022,18,2083.48
WN7674,Southwest Airlines,Los Angeles International,San Francisco International,2/3/2022,12/23/2022,22,4186.31
AV4492,Avianca,El Dorado International,Hamad International,3/8/2022,1/26/2022,14,3136.0
DL8386,Delta Air Lines,John F. Kennedy International,Hartsfield-Jackson Atlanta,11/17/2022,2/13/2022,3,2684.74
ET2520,Ethiopian Airlines,Bole International,Hamad International,12/10/2022,1/21/2022,5,2387.85
DL9459,Delta Air Lines,John F. Kennedy International,Hartsfield-Jackson Atlanta,10/27/2022,8/8/2022,8,3386.77
BA7384,British Airways,Heathrow,Charles de Gaulle,1/26/2022,3/11/2022,14,4150.84
QR3327,Qatar Airways,Hamad International,Incheon International,7/7/2022,1/17/2022,3,2427.83
AF7593,Air France,Charles de Gaulle,Frankfurt Airport,6/1/2022,11/11/2022,3,3174.11
DL8781,Delta Air Lines,John F. Kennedy International,Hartsfield-Jackson Atlanta,10/3/2022,9/15/2022,16,693.9
LH8386,Lufthansa,Frankfurt Airport,Charles de Gaulle,12/2/2022,4/19/2022,11,2127.04
QR5660,Qatar Airways,Hamad International,São Paulo/Guarulhos International,3/7/2022,2/25/2022,10,3110.95
NZ5671,Air New Zealand,Auckland Airport,Brisbane Airport,1/1/2022,12/29/2022,22,4641.66
KE4629,Korean Air,Incheon International,Ministro Pistarini International,5/28/2022,4/13/2022,11,2912.89
KL6524,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Cape Town International,1/24/2022,3/5/2022,19,1788.31
UA4868,United Airlines,Los Angeles International,San Francisco International,5/16/2022,12/14/2022,15,2407.37
AV2744,Avianca,El Dorado International,O'Hare International,4/17/2022,2/11/2022,5,1401.05
CX2642,Cathay Pacific,Hong Kong International,Changi,9/26/2022,12/26/2022,24,3840.65
NZ9250,Air New Zealand,Auckland Airport,Sydney Airport,7/31/2022,8/9/2022,1,3383.61
AC3468,Air Canada,Toronto Pearson,John F. Kennedy International,7/6/2022,4/14/2022,4,3464.84
QF3037,Qantas,Sydney Airport,Melbourne Airport,7/11/2022,5/2/2022,19,3807.47
AV2942,Avianca,El Dorado International,Benito Juárez International,9/8/2022,4/1/2022,23,1006.14
AA1405,American Airlines,John F. Kennedy International,Hartsfield-Jackson Atlanta,7/7/2022,8/28/2022,4,1295.56
AA6559,American Airlines,John F. Kennedy International,Hartsfield-Jackson Atlanta,6/18/2022,9/10/2022,19,4653.87
AA7925,American Airlines,John F. Kennedy International,Hartsfield-Jackson Atlanta,2/23/2022,12/13/2022,2,1090.46
AZ8666,Alitalia,Leonardo da Vinci International,Charles de Gaulle,6/9/2022,5/4/2022,12,1221.84
WN7726,Southwest Airlines,Los Angeles International,San Francisco International,4/2/2022,9/9/2022,20,3788.95
KE2609,Korean Air,Incheon International,Copenhagen Airport,1/25/2022,11/29/2022,12,3293.29
ET3948,Ethiopian Airlines,Bole International,Changi,5/16/2022,12/12/2022,19,1024.16
KL3748,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,San Francisco International,8/13/2022,6/6/2022,16,4180.86
AI5363,Air India,Indira Gandhi International,Chhatrapati Shivaji International,1/16/2022,4/17/2022,5,4081.43
LA1925,LATAM Airlines,São Paulo/Guarulhos International,Toronto Pearson,9/10/2022,9/1/2022,22,1760.3
LH8386,Lufthansa,Frankfurt Airport,Charles de Gaulle,12/7/2022,10/3/2022,3,635.45
KE8751,Korean Air,Incheon International,Logan International,12/22/2022,2/6/2022,8,569.51
IB8190,Iberia,Adolfo Suárez Madrid–Barajas,Charles de Gaulle,9/1/2022,1/4/2022,7,4866.53
AF7307,Air France,Charles de Gaulle,Frankfurt Airport,10/31/2022,1/10/2022,10,3071.2
ET7440,Ethiopian Airlines,Bole International,Hamad International,2/20/2022,6/4/2022,11,727.86
AM2819,Aeroméxico,Benito Juárez International,O'Hare International,3/15/2022,10/12/2022,12,911.13
QF4778,Qantas,Sydney Airport,Melbourne Airport,9/13/2022,12/22/2022,4,2356.59
AA8666,American Airlines,John F. Kennedy International,Hartsfield-Jackson Atlanta,5/18/2022,4/3/2022,7,2162.61
KL9083,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Munich Airport,2/10/2022,7/5/2022,7,4901.29
BA6099,British Airways,Heathrow,Hamad International,11/11/2022,7/21/2022,14,1112.7
EK8700,Emirates,Dubai International,Hamad International,5/9/2022,2/12/2022,19,3431.33
IB1120,Iberia,Adolfo Suárez Madrid–Barajas,Charles de Gaulle,7/2/2022,2/23/2022,3,336.15
NZ6764,Air New Zealand,Auckland Airport,Sydney Airport,2/16/2022,6/15/2022,19,2901.86
AZ3269,Alitalia,Leonardo da Vinci International,Charles de Gaulle,8/5/2022,10/19/2022,7,3513.53
LA7284,LATAM Airlines,São Paulo/Guarulhos International,Ministro Pistarini International,12/17/2022,8/4/2022,5,1346.5
LH4335,Lufthansa,Frankfurt Airport,Charles de Gaulle,1/31/2022,8/29/2022,1,941.86
ET5694,Ethiopian Airlines,Bole International,Amsterdam Airport Schiphol,3/15/2022,5/10/2022,4,4776.68
ET5592,Ethiopian Airlines,Bole International,Hamad International,7/14/2022,12/27/2022,9,3358.44
BA1520,British Airways,Heathrow,Charles de Gaulle,8/2/2022,8/6/2022,2,4701.34
UA4386,United Airlines,Los Angeles International,San Francisco International,10/24/2022,8/2/2022,11,4061.25
KE9018,Korean Air,Incheon International,Haneda,3/4/2022,1/4/2022,9,1827.39
UA8685,United Airlines,Los Angeles International,San Francisco International,4/21/2022,10/18/2022,21,4568.69
AZ9450,Alitalia,Leonardo da Vinci International,Charles de Gaulle,3/20/2022,9/23/2022,9,3495.55
SQ2197,Singapore Airlines,Changi,Beijing Capital International,2/13/2022,1/14/2022,21,983.76
QR2285,Qatar Airways,Hamad International,Bole International,12/26/2022,10/26/2022,4,600.05
EK4358,Emirates,Dubai International,Hamad International,3/12/2022,4/11/2022,5,389.86
UA3037,United Airlines,Los Angeles International,San Francisco International,3/19/2022,7/8/2022,17,847.32
ET8283,Ethiopian Airlines,Bole International,Vienna International,3/6/2022,2/11/2022,14,4882.83
EK8650,Emirates,Dubai International,Hamad International,10/1/2022,11/4/2022,7,2952.69
IB5567,Iberia,Adolfo Suárez Madrid–Barajas,Jorge Chávez International,12/21/2022,11/27/2022,22,3380.23
ET7697,Ethiopian Airlines,Bole International,Hamad International,3/8/2022,10/3/2022,17,3585.71
SA9164,South African Airways,O.R. Tambo International,Charles de Gaulle,7/20/2022,12/19/2022,5,644.06
LH9450,Lufthansa,Frankfurt Airport,Charles de Gaulle,9/18/2022,4/6/2022,4,1131.57
AF9778,Air France,Charles de Gaulle,Frankfurt Airport,10/3/2022,9/14/2022,3,4572.79
TG4099,Thai Airways,Suvarnabhumi,Brisbane Airport,4/9/2022,1/13/2022,24,2363.28
SA3979,South African Airways,O.R. Tambo International,Charles de Gaulle,12/11/2022,12/3/2022,3,1036.7
AV9896,Avianca,El Dorado International,Cape Town International,4/5/2022,2/17/2022,5,582.82
QR7768,Qatar Airways,Hamad International,Bole International,6/14/2022,6/5/2022,6,314.86
AF3915,Air France,Charles de Gaulle,Frankfurt Airport,7/28/2022,5/7/2022,5,3432.55
AZ7659,Alitalia,Leonardo da Vinci International,Charles de Gaulle,10/6/2022,7/26/2022,21,1172.17
SQ8152,Singapore Airlines,Changi,Beijing Capital International,2/3/2022,5/1/2022,1,606.38
QR8144,Qatar Airways,Hamad International,Bole International,10/3/2022,11/27/2022,21,2702.17
SK7231,SAS Scandinavian,Copenhagen Airport,Charles de Gaulle,11/23/2022,10/29/2022,1,3032.25
TG2245,Thai Airways,Suvarnabhumi,Jomo Kenyatta International,8/14/2022,4/16/2022,6,4585.38
AM5249,Aeroméxico,Benito Juárez International,Melbourne Airport,11/1/2022,2/14/2022,24,2017.07
EK9627,Emirates,Dubai International,Hamad International,4/3/2022,3/17/2022,15,3711.83
NZ2706,Air New Zealand,Auckland Airport,Sydney Airport,5/10/2022,3/19/2022,5,1886.03
NZ7268,Air New Zealand,Auckland Airport,Changi,7/7/2022,8/15/2022,16,3604.29
UA7982,United Airlines,Los Angeles International,San Francisco International,9/29/2022,4/11/2022,20,1997.39
BA9707,British Airways,Heathrow,Charles de Gaulle,6/22/2022,3/21/2022,1,3726.79
AF2649,Air France,Charles de Gaulle,Frankfurt Airport,4/25/2022,5/2/2022,5,2109.45
SA4548,South African Airways,O.R. Tambo International,Charles de Gaulle,6/23/2022,5/25/2022,19,1113.17
NZ5791,Air New Zealand,Auckland Airport,Toronto Pearson,3/25/2022,3/1/2022,3,369.42
SA8070,South African Airways,O.R. Tambo International,Charles de Gaulle,2/8/2022,10/14/2022,21,1191.23
LA9341,LATAM Airlines,São Paulo/Guarulhos International,Ministro Pistarini International,6/5/2022,12/13/2022,16,918.74
NZ5969,Air New Zealand,Auckland Airport,Sydney Airport,3/18/2022,12/16/2022,7,1492.94
LH4045,Lufthansa,Frankfurt Airport,Charles de Gaulle,11/7/2022,1/7/2022,6,3304.52
NH9930,All Nippon Airways,Haneda,Incheon International,5/16/2022,12/12/2022,20,1392.6
AZ3752,Alitalia,Leonardo da Vinci International,Adolfo Suárez Madrid–Barajas,9/3/2022,4/30/2022,9,359.12
UA6879,United Airlines,Los Angeles International,San Francisco International,4/8/2022,8/25/2022,19,4329.52
KE3039,Korean Air,Incheon International,Haneda,1/11/2022,9/25/2022,8,1349.36
IB5603,Iberia,Adolfo Suárez Madrid–Barajas,Indira Gandhi International,12/15/2022,7/29/2022,8,2942.49
SA3890,South African Airways,O.R. Tambo International,Charles de Gaulle,9/2/2022,11/26/2022,10,4545.84
DL4294,Delta Air Lines,John F. Kennedy International,Hartsfield-Jackson Atlanta,12/28/2022,2/28/2022,3,1762.6
LA6492,LATAM Airlines,São Paulo/Guarulhos International,Ministro Pistarini International,6/7/2022,8/4/2022,1,730.19
AI4967,Air India,Indira Gandhi International,Chhatrapati Shivaji International,9/17/2022,4/27/2022,7,4123.05
WN2879,Southwest Airlines,Los Angeles International,San Francisco International,3/7/2022,9/28/2022,24,4640.54
AF2649,Air France,Charles de Gaulle,Frankfurt Airport,4/16/2022,11/5/2022,22,1221.04
IB1849,Iberia,Adolfo Suárez Madrid–Barajas,Chhatrapati Shivaji International,1/28/2022,6/13/2022,2,4302.85
TG3301,Thai Airways,Suvarnabhumi,Changi,12/18/2022,4/28/2022,6,2737.8
WN3907,Southwest Airlines,Los Angeles International,San Francisco International,3/7/2022,11/10/2022,20,1630.67
QR7020,Qatar Airways,Hamad International,São Paulo/Guarulhos International,4/8/2022,4/18/2022,6,4339.23
ET9590,Ethiopian Airlines,Bole International,Indira Gandhi International,3/5/2022,6/26/2022,22,422.46
NZ6489,Air New Zealand,Auckland Airport,Sydney Airport,10/22/2022,6/5/2022,7,2000.51
NZ9821,Air New Zealand,Auckland Airport,Sydney Airport,3/4/2022,11/11/2022,6,3305.1
IB3698,Iberia,Adolfo Suárez Madrid–Barajas,Charles de Gaulle,3/12/2022,6/3/2022,14,312.14
CX8226,Cathay Pacific,Hong Kong International,Incheon International,4/29/2022,8/13/2022,2,4180.66
SQ8734,Singapore Airlines,Changi,Beijing Capital International,12/25/2022,10/30/2022,1,2546.03
BA4740,British Airways,Heathrow,Charles de Gaulle,11/1/2022,3/16/2022,6,4785.44
SA1308,South African Airways,O.R. Tambo International,Charles de Gaulle,8/11/2022,4/24/2022,14,3991.89
IB6339,Iberia,Adolfo Suárez Madrid–Barajas,Auckland Airport,5/26/2022,5/9/2022,8,364.21
QF8737,Qantas,Sydney Airport,Melbourne Airport,9/3/2022,1/25/2022,23,867.93
AV5400,Avianca,El Dorado International,O'Hare International,1/30/2022,1/19/2022,21,4434.47
AM8041,Aeroméxico,Benito Juárez International,O'Hare International,5/18/2022,5/4/2022,15,4876.94
SQ9917,Singapore Airlines,Changi,Hong Kong International,5/28/2022,11/29/2022,6,2500.42
DL8968,Delta Air Lines,John F. Kennedy International,Hartsfield-Jackson Atlanta,7/5/2022,3/1/2022,9,4815.77
SQ6672,Singapore Airlines,Changi,Beijing Capital International,7/25/2022,12/19/2022,14,778.57
CX5049,Cathay Pacific,Hong Kong International,Changi,2/18/2022,5/14/2022,24,2802.61
NH1887,All Nippon Airways,Haneda,Copenhagen Airport,9/14/2022,7/11/2022,10,218.66
BA4860,British Airways,Heathrow,Zurich Airport,4/6/2022,12/18/2022,6,3076.4
SK7629,SAS Scandinavian,Copenhagen Airport,Adolfo Suárez Madrid–Barajas,12/21/2022,4/16/2022,22,2151.15
LA4585,LATAM Airlines,São Paulo/Guarulhos International,Frankfurt Airport,7/9/2022,5/15/2022,5,614.92
NZ1208,Air New Zealand,Auckland Airport,Beijing Capital International,8/11/2022,2/2/2022,13,1264.82
AF7307,Air France,Charles de Gaulle,Frankfurt Airport,6/11/2022,1/23/2022,22,1884.99
AZ5379,Alitalia,Leonardo da Vinci International,Charles de Gaulle,1/8/2022,6/12/2022,15,4413.22
NZ4284,Air New Zealand,Auckland Airport,Beijing Capital International,11/2/2022,2/13/2022,21,352.04
AC2407,Air Canada,Toronto Pearson,John F. Kennedy International,4/28/2022,12/9/2022,1,4385.71
LA1166,LATAM Airlines,São Paulo/Guarulhos International,Ministro Pistarini International,3/12/2022,11/21/2022,3,1771.09
NZ3584,Air New Zealand,Auckland Airport,Sydney Airport,1/4/2022,12/14/2022,10,2711.61
SA1241,South African Airways,O.R. Tambo International,Charles de Gaulle,3/4/2022,3/22/2022,22,3361.65
WN1044,Southwest Airlines,Los Angeles International,San Francisco International,1/2/2022,5/29/2022,9,4203.45
AA5224,American Airlines,John F. Kennedy International,Hartsfield-Jackson Atlanta,5/17/2022,7/6/2022,15,3526.39
AA3897,American Airlines,John F. Kennedy International,Hartsfield-Jackson Atlanta,3/26/2022,6/21/2022,17,4747.23
KE5551,Korean Air,Incheon International,Kuala Lumpur International,1/30/2022,8/7/2022,1,4216.67
DL1278,Delta Air Lines,John F. Kennedy International,Hartsfield-Jackson Atlanta,7/28/2022,2/4/2022,14,4815.89
SA2979,South African Airways,O.R. Tambo International,Charles de Gaulle,3/30/2022,9/4/2022,24,3592.84
CX7552,Cathay Pacific,Hong Kong International,Changi,2/4/2022,4/17/2022,19,1813.01
AM8332,Aeroméxico,Benito Juárez International,Vancouver International,2/18/2022,3/29/2022,17,2800.39
UA3991,United Airlines,Los Angeles International,Seattle-Tacoma International,3/24/2022,8/5/2022,22,4941.65
LH1504,Lufthansa,Frankfurt Airport,Charles de Gaulle,2/12/2022,8/20/2022,24,4573.79
AZ7460,Alitalia,Leonardo da Vinci International,Cairo International,6/13/2022,4/16/2022,11,1330.35
KE6371,Korean Air,Incheon International,Haneda,4/22/2022,9/16/2022,21,470.12
SK8185,SAS Scandinavian,Copenhagen Airport,Leonardo da Vinci International,3/4/2022,4/8/2022,2,4166.41
LA9967,LATAM Airlines,São Paulo/Guarulhos International,Arturo Merino Benítez International,1/13/2022,9/10/2022,22,2459.33
WN5713,Southwest Airlines,Los Angeles International,John F. Kennedy International,5/3/2022,10/28/2022,23,3432.83
NZ2117,Air New Zealand,Auckland Airport,Sydney Airport,2/24/2022,6/19/2022,13,2904.53
LH2054,Lufthansa,Frankfurt Airport,Charles de Gaulle,12/2/2022,11/5/2022,11,3468.35
DL4964,Delta Air Lines,John F. Kennedy International,Hartsfield-Jackson Atlanta,1/9/2022,3/25/2022,6,3097.84
AA3791,American Airlines,John F. Kennedy International,O'Hare International,1/7/2022,11/29/2022,7,3747.98
BA4260,British Airways,Heathrow,Charles de Gaulle,10/20/2022,10/30/2022,20,347.25
AZ2894,Alitalia,Leonardo da Vinci International,Copenhagen Airport,3/11/2022,7/25/2022,9,2558.66
AF6122,Air France,Charles de Gaulle,Brisbane Airport,3/13/2022,12/13/2022,7,2277.75
QF4267,Qantas,Sydney Airport,Suvarnabhumi,6/19/2022,10/20/2022,19,805.95
NH8896,All Nippon Airways,Haneda,Incheon International,5/14/2022,9/13/2022,19,2031.85
AF7952,Air France,Charles de Gaulle,Frankfurt Airport,4/8/2022,3/19/2022,15,3079.99
KE6940,Korean Air,Incheon International,Haneda,5/23/2022,6/4/2022,5,2553.36
LA7850,LATAM Airlines,São Paulo/Guarulhos International,Ministro Pistarini International,11/14/2022,5/30/2022,17,3613.05
QR3795,Qatar Airways,Hamad International,Copenhagen Airport,3/22/2022,1/2/2022,17,3624.19
BA1338,British Airways,Heathrow,O.R. Tambo International,8/9/2022,11/11/2022,5,4359.09
TG5846,Thai Airways,Suvarnabhumi,Changi,5/5/2022,4/18/2022,13,3925.09
NZ4558,Air New Zealand,Auckland Airport,Sydney Airport,4/12/2022,5/3/2022,18,3426.09
IB9980,Iberia,Adolfo Suárez Madrid–Barajas,Charles de Gaulle,11/13/2022,5/16/2022,5,1093.38
NH7999,All Nippon Airways,Haneda,Incheon International,5/31/2022,11/25/2022,14,3587.4
EK8169,Emirates,Dubai International,Hamad International,2/17/2022,5/12/2022,6,4309.7
WN4295,Southwest Airlines,Los Angeles International,Denver International,3/19/2022,5/25/2022,7,3804.57
NZ5909,Air New Zealand,Auckland Airport,Vancouver International,3/11/2022,5/5/2022,6,2086.46
AI2711,Air India,Indira Gandhi International,Chhatrapati Shivaji International,6/18/2022,7/29/2022,15,3869.76
TG7537,Thai Airways,Suvarnabhumi,Changi,12/9/2022,6/17/2022,6,4081.2
AA6888,American Airlines,John F. Kennedy International,Hartsfield-Jackson Atlanta,9/3/2022,3/26/2022,23,4694.33
KE3990,Korean Air,Incheon International,Haneda,2/18/2022,6/1/2022,7,4646.7
BA2476,British Airways,Heathrow,Adolfo Suárez Madrid–Barajas,3/2/2022,2/22/2022,22,2638.45
DL4552,Delta Air Lines,John F. Kennedy International,Kuala Lumpur International,5/18/2022,1/5/2022,3,673.07
QR2054,Qatar Airways,Hamad International,Bole International,1/27/2022,10/25/2022,23,3248.83
QF2199,Qantas,Sydney Airport,Melbourne Airport,4/5/2022,11/3/2022,11,3921.77
SK6738,SAS Scandinavian,Copenhagen Airport,Charles de Gaulle,5/25/2022,5/28/2022,10,1229.3
AF3760,Air France,Charles de Gaulle,Frankfurt Airport,1/29/2022,3/12/2022,22,2532.39
BA1338,British Airways,Heathrow,O.R. Tambo International,5/2/2022,9/23/2022,12,2101.19
AF8227,Air France,Charles de Gaulle,Frankfurt Airport,3/8/2022,12/29/2022,4,4722.83
TG1140,Thai Airways,Suvarnabhumi,Toronto Pearson,12/8/2022,10/23/2022,19,3735.31
SA3713,South African Airways,O.R. Tambo International,Frankfurt Airport,2/20/2022,8/7/2022,15,1373.43
UA4237,United Airlines,Los Angeles International,San Francisco International,1/25/2022,5/22/2022,16,3947.67
IB5036,Iberia,Adolfo Suárez Madrid–Barajas,Vancouver International,5/20/2022,1/1/2022,19,3877.15
IB9822,Iberia,Adolfo Suárez Madrid–Barajas,Charles de Gaulle,5/22/2022,9/30/2022,13,1678.2
SQ3534,Singapore Airlines,Changi,Leonardo da Vinci International,10/5/2022,1/11/2022,15,4613.84
SK1381,SAS Scandinavian,Copenhagen Airport,Charles de Gaulle,9/19/2022,7/21/2022,12,2068.62
AZ7831,Alitalia,Leonardo da Vinci International,Charles de Gaulle,8/11/2022,2/12/2022,23,4221.45
KL3949,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Charles de Gaulle,10/21/2022,1/20/2022,23,1219.94
AV9047,Avianca,El Dorado International,São Paulo/Guarulhos International,11/28/2022,9/23/2022,12,1778.29
SK6642,SAS Scandinavian,Copenhagen Airport,Stockholm Arlanda,11/29/2022,5/21/2022,11,2058.42
AZ4087,Alitalia,Leonardo da Vinci International,Charles de Gaulle,3/12/2022,5/4/2022,7,1666.98
SA1209,South African Airways,O.R. Tambo International,Charles de Gaulle,10/3/2022,9/18/2022,3,696.01
QR9090,Qatar Airways,Hamad International,Bole International,10/26/2022,7/5/2022,13,2728.92
AZ7615,Alitalia,Leonardo da Vinci International,Charles de Gaulle,3/21/2022,5/11/2022,10,874.03
SQ4113,Singapore Airlines,Changi,Melbourne Airport,1/22/2022,3/16/2022,20,4668.72
WN6482,Southwest Airlines,Los Angeles International,Denver International,9/15/2022,11/14/2022,17,4684.03
ET6025,Ethiopian Airlines,Bole International,Changi,8/13/2022,1/24/2022,19,4868.24
AV8059,Avianca,El Dorado International,O'Hare International,5/16/2022,2/20/2022,19,4221.13
AV9215,Avianca,El Dorado International,O'Hare International,2/23/2022,10/7/2022,17,2330.83
AI1305,Air India,Indira Gandhi International,Kuala Lumpur International,6/15/2022,12/13/2022,17,897.59
SK3209,SAS Scandinavian,Copenhagen Airport,Charles de Gaulle,10/10/2022,9/24/2022,13,4458.68
WN1688,Southwest Airlines,Los Angeles International,San Francisco International,7/8/2022,4/30/2022,12,323.2
AI8973,Air India,Indira Gandhi International,Chhatrapati Shivaji International,1/24/2022,9/21/2022,19,3388.66
SQ4852,Singapore Airlines,Changi,Frankfurt Airport,10/11/2022,5/26/2022,23,4640.56
TG8950,Thai Airways,Suvarnabhumi,Changi,6/10/2022,12/12/2022,7,3431.68
IB2413,Iberia,Adolfo Suárez Madrid–Barajas,Cape Town International,2/2/2022,8/24/2022,16,830.79
AA3263,American Airlines,John F. Kennedy International,Hartsfield-Jackson Atlanta,9/20/2022,9/30/2022,6,3554.83
SA1191,South African Airways,O.R. Tambo International,Charles de Gaulle,10/30/2022,8/18/2022,2,798.36
LH5923,Lufthansa,Frankfurt Airport,Charles de Gaulle,3/14/2022,7/5/2022,11,105.02
DL2865,Delta Air Lines,John F. Kennedy International,Hartsfield-Jackson Atlanta,6/22/2022,10/2/2022,10,2207.18
AV9422,Avianca,El Dorado International,O'Hare International,3/3/2022,3/25/2022,14,4526.7
LA6020,LATAM Airlines,São Paulo/Guarulhos International,Ministro Pistarini International,7/1/2022,2/15/2022,4,4064.58
KL2423,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Los Angeles International,6/15/2022,5/16/2022,17,3066.01
AF3957,Air France,Charles de Gaulle,Frankfurt Airport,12/18/2022,12/24/2022,7,1982.09
NZ4755,Air New Zealand,Auckland Airport,Sydney Airport,9/2/2022,11/24/2022,21,4579.39
